,NBH_ID,NBH_NAME,total crime,violent crime,property crime,Median income,Median home value,Population with BS or More,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households,Walk Score,Transit Score,Bike Score,Population,Animals / Pets,City Facilities,Lights / Signals,Mowing / Weeds,Trash / Recycling
0,177,Country Valley-Hawthorn Square,456,848,358,56044,156425,434,1513,298,41,93,63,327,938,15,15,25,1414,1,,7,,12.04
1,29,East Community Team North,431,980,332,27803,62380,34,143,358,10,301,121,155,328,47,35,33,3352,13.41975309,,3.083333333,125,33.34507042
2,221,The Coves,392,91,687,71767,266200,595,1339,111,12,127,47,276,701,31,26,28,3997,12.57142857,,2.454545455,2,5.770114943
3,119,Blue Hills,390,1105,262,37498,58311,91,90,717,4,32,125,196,365,50,43,36,5359,17.92134831,,2.428571429,98.13333333,38.6798419
4,50,Vineyard Estates,385,304,401,39375,28200,86,39,652,0,0,43,279,349,6,31,30,739,1.24,,2,,16.75
5,164,Hickman Mills,382,774,312,34026,80666,112,388,310,14,38,100,261,423,30,21,42,2046,3.041666667,,2.4,30.66666667,30.36923077
6,49,Vineyard,380,344,403,34792,50266,28,66,818,3,88,101,190,417,24,36,45,2536,5.163934426,,3.111111111,66.5625,18.76219512
7,136,Oldham Farms,376,419,320,47937,89050,195,353,901,0,161,55,295,606,32,29,33,908,1.769230769,,3.5,27.75,7.5625
8,25,Beacon Hills,375,521,348,36061,117100,142,80,505,6,114,73,253,398,54,50,39,613,17.875,,2.375,52.07142857,17.84615385
9,82,Plaza Westport,371,765,300,67012,388550,545,842,40,27,78,122,470,619,84,44,53,1734,1.285714286,,3.222222222,80,5.631578947
10,42,Stayton Meadows,368,305,419,53907,99075,152,667,190,9,59,54,93,404,13,27,22,2481,3.47826087,,5.25,40.75862069,19.67231638
11,34,East Blue Valley,365,910,267,35988,37400,15,319,117,0,754,76,201,417,46,34,29,2259,12.58974359,,1.666666667,137.25,33.6625
12,117,South Town Fork Creek,356,937,252,31476,58300,54,81,424,5,8,84,139,243,37,39,30,1339,21.07692308,,1.833333333,129.3333333,34.2244898
13,64,Knoches Park,350,363,325,30581,35040,34,62,677,0,63,74,225,357,39,41,29,1715,11.16071429,,1.25,92,18.05035971
14,156,Oakwood,348,482,202,30578,96100,302,707,1070,37,161,164,774,947,3,28,26,515,21,,2,29.6,6.285714286
15,19,North Indian Mound,343,283,389,39797,55680,76,242,161,41,441,69,150,325,47,31,34,5161,6.075757576,,3.818181818,94.7,18.97515528
16,20,South Indian Mound,342,283,389,41690,56316,53,303,110,103,355,96,116,288,68,38,48,5467,7.875,,4.357142857,132.4,30.44871795
17,14,Columbus Park,341,438,230,27778,165800,332,742,502,63,208,89,540,730,59,58,59,1386,8.875,,4.090909091,2,14.51807229
18,59,Oak Park Southwest,339,947,230,32326,32450,48,78,1064,0,0,144,164,451,43,44,40,1944,18.02985075,,10.45454545,36,15.87704918
19,170,Ruskin Hills,329,253,344,45449,99400,90,238,523,9,15,31,159,327,10,5,28,2696,4.25,,3.1,84.55555556,15.09375
20,9,Westside South,328,457,304,53522,163050,327,425,143,1,374,79,251,504,52,51,39,1233,11.14285714,,4.285714286,85.42857143,13.92436975
21,141,Legacy East,325,260,376,35495,84342,122,349,670,5,37,98,306,439,18,38,38,1010,2.3,,9.375,1.75,25.20895522
22,124,Self Help Neighborhood Council,321,221,210,27038,53466,72,94,876,0,16,110,228,411,24,39,28,1498,12.65789474,,1.8,49.66666667,8.704918033
23,171,Ruskin Heights,319,253,374,38533,66950,56,319,806,0,85,46,308,394,28,25,40,3997,7.936170213,,3.9,96.44117647,49.02463054
24,147,Red Bridge North,318,382,239,87736,183600,395,694,35,41,60,40,20,376,31,20,34,1086,1.142857143,,2.833333333,38.16666667,6.266666667
25,48,Vineyard Northwest,315,333,405,20142,53500,19,91,669,0,61,91,202,379,30,38,28,817,1.740740741,,3.333333333,95,44.92307692
26,169,Hickman Mills South,309,326,277,53250,66050,104,394,328,0,30,34,97,306,17,17,28,1797,2.351351351,,3,55.33333333,20.1965812
27,126,Noble And Gregory Ridge,308,232,372,41412,61350,53,84,746,0,37,96,209,408,20,34,27,1869,11.43478261,,36.38461538,99.85714286,20.64444444
28,204,Foxwoods-Carriage Hills,307,222,379,88004,189100,266,972,128,6,230,25,46,470,23,16,27,844,3,,8.714285714,50.33333333,9.166666667
29,15,Pendleton Heights,307,421,177,29954,114520,83,207,388,46,211,100,258,343,66,41,49,3625,20.26315789,,4.166666667,112.6153846,13.85057471
30,201,Glenhaven,304,223,374,58713,113100,140,950,37,33,70,25,223,484,29,20,30,1161,3.8,,5.333333333,17.36363636,9.657894737
31,148,Red Bridge South,304,342,252,42314,172600,493,956,349,11,36,0,516,772,43,25,40,2653,22.25,,4.230769231,99.5,5.152941176
32,237,Sherrydale,303,266,328,52946,139600,444,1339,335,28,205,37,485,811,33,18,33,1807,24.6,,10.33333333,38.4,19
33,43,Eastwood Hills East,298,299,286,47784,85875,81,402,365,6,135,44,183,376,13,28,20,3787,8.257142857,,4.142857143,72.5,49.40740741
34,202,Sherwood Estates,298,269,317,59569,135900,222,821,6,24,71,8,63,451,36,28,31,1573,63.7,,4,,28.83333333
35,74,Hanover Place,297,563,249,62916,221675,349,626,162,32,44,150,396,510,80,51,73,2463,20.2,,4.2,180,41.08108108
36,120,Citadel,295,618,237,37947,92400,174,36,902,17,9,64,228,466,59,44,41,1320,20.16666667,,1.75,,18.68852459
37,17,Lykins,293,270,304,24377,45912,25,150,258,27,310,101,155,275,68,42,48,4937,11.95959596,,3.333333333,139.0909091,29.29333333
38,77,Central Hyde Park,291,328,285,80152,341500,458,539,100,78,82,91,256,444,64,51,72,1572,39.28571429,,3.6,,4.333333333
39,69,Manheim Park,290,250,330,31217,69250,72,104,634,0,137,116,255,373,56,48,48,1355,2.117647059,,3.166666667,147.0952381,33.6119403
40,150,Verona Hills,285,240,314,124650,279000,525,882,50,22,51,4,23,410,18,23,32,1852,3.666666667,,2.928571429,57.5,6.038461538
41,172,Crossgates,284,436,114,35000,112500,84,87,1057,0,90,127,393,598,42,27,39,1805,2.8125,,4.4,35,11.5
42,72,Roanoke,279,302,239,51719,389600,281,453,10,13,0,49,129,268,79,46,60,535,2,,40,,4.181818182
43,193,Antioch Acres,276,331,221,49271,122100,223,746,242,32,191,15,221,556,31,29,32,1738,5.466666667,,2.25,29.5,15.06756757
44,167,Robandee South,275,271,365,53750,86800,106,368,1393,0,25,124,298,482,16,6,27,1364,1.80952381,,3.235294118,77.25,21.328125
45,31,South Blue Valley,274,258,280,22785,33499,13,202,313,1,264,109,192,336,38,38,23,1664,10.08333333,,3.666666667,147.2,43.2293578
46,33,West Blue Valley,274,258,280,17634,48550,98,318,131,19,769,109,250,411,44,36,29,1792,14.64102564,,3.5,3.5,39.45679012
47,61,Palestine West And Oak Park Northeast,255,221,277,48041,68650,16,52,433,0,47,100,71,191,40,43,29,1138,24.1509434,,2.428571429,74,20.85507246
48,153,Woodbridge,255,149,354,66875,159350,308,595,71,7,64,25,78,339,25,24,33,766,1.375,,3,,23.95833333
