NBH_ID,NBH_NAME,total crime,violent crime,property crime,Median income,Median home value,Population with BS or More,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households,Walk Score,Transit Score,Bike Score,Population
177,Country Valley-Hawthorn Square,456,848,358,56044,156425,434,1513,298,41,93,63,327,938,15,15,25,1414
29,East Community Team North,431,980,332,27803,62380,34,143,358,10,301,121,155,328,47,35,33,3352
221,The Coves,392,91,687,71767,266200,595,1339,111,12,127,47,276,701,31,26,28,3997
119,Blue Hills,390,1105,262,37498,58311,91,90,717,4,32,125,196,365,50,43,36,5359
50,Vineyard Estates,385,304,401,39375,28200,86,39,652,0,0,43,279,349,6,31,30,739
164,Hickman Mills,382,774,312,34026,80666,112,388,310,14,38,100,261,423,30,21,42,2046
49,Vineyard,380,344,403,34792,50266,28,66,818,3,88,101,190,417,24,36,45,2536
136,Oldham Farms,376,419,320,47937,89050,195,353,901,0,161,55,295,606,32,29,33,908
25,Beacon Hills,375,521,348,36061,117100,142,80,505,6,114,73,253,398,54,50,39,613
82,Plaza Westport,371,765,300,67012,388550,545,842,40,27,78,122,470,619,84,44,53,1734
42,Stayton Meadows,368,305,419,53907,99075,152,667,190,9,59,54,93,404,13,27,22,2481
34,East Blue Valley,365,910,267,35988,37400,15,319,117,0,754,76,201,417,46,34,29,2259
117,South Town Fork Creek,356,937,252,31476,58300,54,81,424,5,8,84,139,243,37,39,30,1339
64,Knoches Park,350,363,325,30581,35040,34,62,677,0,63,74,225,357,39,41,29,1715
156,Oakwood,348,482,202,30578,96100,302,707,1070,37,161,164,774,947,3,28,26,515
19,North Indian Mound,343,283,389,39797,55680,76,242,161,41,441,69,150,325,47,31,34,5161
20,South Indian Mound,342,283,389,41690,56316,53,303,110,103,355,96,116,288,68,38,48,5467
14,Columbus Park,341,438,230,27778,165800,332,742,502,63,208,89,540,730,59,58,59,1386
59,Oak Park Southwest,339,947,230,32326,32450,48,78,1064,0,0,144,164,451,43,44,40,1944
170,Ruskin Hills,329,253,344,45449,99400,90,238,523,9,15,31,159,327,10,5,28,2696
9,Westside South,328,457,304,53522,163050,327,425,143,1,374,79,251,504,52,51,39,1233
141,Legacy East,325,260,376,35495,84342,122,349,670,5,37,98,306,439,18,38,38,1010
124,Self Help Neighborhood Council,321,221,210,27038,53466,72,94,876,0,16,110,228,411,24,39,28,1498
171,Ruskin Heights,319,253,374,38533,66950,56,319,806,0,85,46,308,394,28,25,40,3997
147,Red Bridge North,318,382,239,87736,183600,395,694,35,41,60,40,20,376,31,20,34,1086
48,Vineyard Northwest,315,333,405,20142,53500,19,91,669,0,61,91,202,379,30,38,28,817
