,CASEID,ADDRESS,NEIGH,NEIGH-Income,ZIP,POLICED,COUNCILD,SOURCE,Sum SOURCE ,CATEGORY,Sum CATEGORY ,DAYTOCLOSE,Sum DAYTOCLOSE,TYPE,CATTYPE,GROUP311,VIS_STREET,DEPT,WORKGRP,REQTYPE,DETAIL,CREATEDATE,CREATTIME,CREATEMO,CREATEYR,STATUS,EXCEEDTIME,CLOSEDATE,CLOSEMO,CLOSEYR,DAYTOCLOSE.1,ADDGEOC,COUNTY,Latitude,Longitude,APN,CASEURL
0,2019205581,3509 N Park Ave,River Forest,H,64116.0,Shoal Creek,1.0,EMAIL,4068,Animals / Pets,5012,0,4266,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Aggressive,At Large - Aggressive,12/18/2019,10:05 AM,12,2019,RESOL,N,12/18/2019,12.0,2019.0,0.0,"3509 N Park Ave64116
(39.15808, -94.552757)",Clay,39.15808,-94.552757,86023,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019205581
1,2019197315,7419 N Booth Ave,Shoal Creek,H,64158.0,Shoal Creek,1.0,WEB,13543,Animals / Pets,5012,0,4266,Rat Treatment,Animals / Pets Rat Treatment,ANIMAL,NOT_VISIBLE,Health,Health-Rat-,Animals / Pets-Rat Treatment-Outside,Outside,11/26/2019,12:32 PM,11,2019,RESOL,N,11/26/2019,11.0,2019.0,0.0,"7419 N Booth Ave64158
(39.227631, -94.477601)",Clay,39.227631,-94.477601,173284,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019197315
2,2019197112,7527 Madison Ave,Ward Parkway,H,64114.0,Metro,6.0,PHONE,30436,Animals / Pets,5012,272,7,Rat Treatment,Animals / Pets Rat Treatment,ANIMAL,NOT_VISIBLE,Health,Health-Rat-,Animals / Pets-Rat Treatment-City Block,City Block,11/26/2019,8:21 AM,11,2019,RESOL,Y,8/24/2020,8.0,2020.0,272.0,"7527 Madison Ave64114
(38.991688, -94.599659)",Jackson,38.991688,-94.599659,120028,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019197112
3,2019197327,7220 NW Waukomis Dr,Park Plaza,H,64151.0,North,2.0,EMAIL,4068,Animals / Pets,5012,1,9171,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Street,Street,11/26/2019,12:40 PM,11,2019,RESOL,N,11/27/2019,11.0,2019.0,1.0,"7220 NW Waukomis Dr64151
(39.226176, -94.629843)",Platte,39.226176,-94.629843,162596,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019197327
4,2019197211,8750 N St Clair Ct,Coves North,H,64154.0,North,2.0,WEB,13543,Animals / Pets,5012,1,9171,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Street,Street,11/26/2019,10:14 AM,11,2019,RESOL,N,11/27/2019,11.0,2019.0,1.0,"8750 N St Clair Ct64154
(39.249933, -94.648505)",Platte,39.249933,-94.648505,160265,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019197211
5,2020016389,5104 Cherry St,Western 49-63,H,64110.0,Metro,4.0,PHONE,30436,Animals / Pets,5012,0,4266,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Non-Aggressive,At Large - Non-Aggressive,2/3/2020,8:23 AM,2,2020,RESOL,N,2/3/2020,2.0,2020.0,0.0,"5104 Cherry St64110
(39.032972, -94.581424)",Jackson,39.032972,-94.581424,143274,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020016389
6,2020016917,8413 N Wayland Ave,KCI & 2nd Creek,H,64153.0,North,2.0,PHONE,30436,Animals / Pets,5012,0,4266,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Owned,At Large - Owned,2/3/2020,5:00 PM,2,2020,RESOL,N,2/3/2020,2.0,2020.0,0.0,"8413 N Wayland Ave64153
(39.248056, -94.692749)",Platte,39.248056,-94.692749,168216,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020016917
7,2020016477,11 W 65th St,Armour Hills,H,64113.0,Metro,6.0,WEB,13543,Animals / Pets,5012,1,9171,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Street,Street,2/3/2020,9:44 AM,2,2020,RESOL,N,2/4/2020,2.0,2020.0,1.0,"11 W 65th St64113
(39.010058, -94.5892)",Jackson,39.010058,-94.5892,107359,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020016477
8,2020016451,4715 NW 87th St,Coves North,H,64154.0,North,2.0,PHONE,30436,Animals / Pets,5012,1,9171,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Curb,Curb,2/3/2020,9:12 AM,2,2020,RESOL,N,2/4/2020,2.0,2020.0,1.0,"4715 NW 87th St64154
(39.251495, -94.635579)",Platte,39.251495,-94.635579,161089,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020016451
9,2020016886,8634 NW Waukomis Dr,Coves North,H,64154.0,North,2.0,PHONE,30436,Animals / Pets,5012,1,9171,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Curb,Curb,2/3/2020,4:42 PM,2,2020,RESOL,N,2/4/2020,2.0,2020.0,1.0,"8634 NW Waukomis Dr64154
(39.251269, -94.643851)",Platte,39.251269,-94.643851,160226,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020016886
