,CASEID,ADDRESS,NEIGH,NEIGH-Income,ZIP,POLICED,COUNCILD,SOURCE,Sum SOURCE ,CATEGORY,Sum CATEGORY ,DAYTOCLOSE,Sum DAYTOCLOSE,TYPE,CATTYPE,GROUP311,VIS_STREET,DEPT,WORKGRP,REQTYPE,DETAIL,CREATEDATE,CREATTIME,CREATEMO,CREATEYR,STATUS,EXCEEDTIME,CLOSEDATE,CLOSEMO,CLOSEYR,DAYTOCLOSE.1,ADDGEOC,COUNTY,Latitude,Longitude,APN,CASEURL
2002,2019190262,9121 Stubbs Rd,Highview Estates,H,64138.0,South,5.0,PHONE,30436,Property / Buildings / Construction,7280,18,409,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Other Property Issue,11/7/2019,1:42 PM,11,2019,RESOL,Y,11/25/2019,11.0,2019.0,18.0,"9121 Stubbs Rd64138
(38.95671, -94.454733)",Jackson,38.95671,-94.454733,67694,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019190262
2003,2019190445,9 E 108th Ter,Bridlespur,H,64114.0,South,6.0,WEB,13543,Property / Buildings / Construction,7280,56,124,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Other Property Issue,11/7/2019,6:30 PM,11,2019,RESOL,Y,1/2/2020,1.0,2020.0,56.0,"9 E 108th Ter64114
(38.931486, -94.592519)",Jackson,38.931486,-94.592519,155048,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019190445
2004,2019171583,3507 NW 59th Ter,Breen Hills,H,64151.0,North,2.0,WEB,13543,Property / Buildings / Construction,7280,77,81,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Other Property Issue,9/25/2019,5:31 PM,9,2019,RESOL,Y,12/11/2019,12.0,2019.0,77.0,"3507 NW 59th Ter64151
(39.20155, -94.621841)",Platte,39.20155,-94.621841,165508,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019171583
2005,2020009765,6121 NW Westwood Ln,Breen Hills,H,64151.0,North,2.0,PHONE,30436,Property / Buildings / Construction,7280,148,15,Land Use / Zoning Issue,Property / Buildings / Construction Land Use / Zoning Issue,PROPERTY,NOT_VISIBLE,City Planning and Development,City Planning and Development-Dev Comp-Zoning,Prop/Build/Construct-Land Use / Zoning Issue-Number of Residents,Number of Residents,1/23/2020,8:48 AM,1,2020,RESOL,Y,6/19/2020,6.0,2020.0,148.0,"6121 NW Westwood Ln64151
(39.206475, -94.625998)",Platte,39.206475,-94.625998,165972,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020009765
2006,2019171662,3950 NE Prather Rd,River Forest,H,64116.0,Shoal Creek,1.0,WEB,13543,Property / Buildings / Construction,7280,180,2874,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Main Structure,9/25/2019,11:09 PM,9,2019,OPEN,Y,,,,,"3950 NE Prather Rd64116
(39.167274, -94.55358)",Clay,39.167274,-94.55358,83298,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019171662
2007,2020011713,3510 NW 62nd Ter,Breen Hills,H,64151.0,North,2.0,WEB,13543,Property / Buildings / Construction,7280,10,807,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,Northland,Northland-Neighborhood-Inc,Prop/Build/Construct-Property Maintenance-NNI,Northland Neighborhoods INC,1/25/2020,4:22 PM,1,2020,RESOL,N,2/4/2020,2.0,2020.0,10.0,"3510 NW 62nd Ter64151
(39.20801, -94.621348)",Platte,39.20801,-94.621348,165266,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020011713
2008,2020011712,6238 N Robinhood Ln,Breen Hills,H,64151.0,North,2.0,WEB,13543,Property / Buildings / Construction,7280,180,2874,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Main Structure,1/25/2020,4:22 PM,1,2020,OPEN,Y,,,,,"6238 N Robinhood Ln64151
(39.208026, -94.621988)",Platte,39.208026,-94.621988,165226,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020011712
2009,2019167014,11825 N Wheeling Ave,Shoal Creek,H,64156.0,Shoal Creek,1.0,PHONE,30436,Property / Buildings / Construction,7280,30,244,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Main Structure,9/17/2019,6:29 AM,9,2019,RESOL,Y,10/17/2019,10.0,2019.0,30.0,"11825 N Wheeling Ave64156
(39.308526, -94.507084)",Clay,39.308526,-94.507084,233599,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019167014
2010,2019171311,1015 W Gregory Blvd,Ward Parkway,H,64114.0,Metro,6.0,WEB,13543,Property / Buildings / Construction,7280,69,70,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Other Property Issue,9/25/2019,1:04 PM,9,2019,RESOL,Y,12/3/2019,12.0,2019.0,69.0,"1015 W Gregory Blvd64114
(38.999663, -94.60151)",Jackson,38.999663,-94.60151,110700,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019171311
2011,2019170198,5611 Holmes St,Western 49-63,H,64110.0,Metro,4.0,PHONE,30436,Property / Buildings / Construction,7280,2,4179,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Other Property Issue,9/23/2019,5:51 PM,9,2019,RESOL,N,9/25/2019,9.0,2019.0,2.0,"5611 Holmes St64110
(39.025106, -94.578232)",Jackson,39.025106,-94.578232,144629,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019170198
