,CASEID,ADDRESS,NEIGH,NEIGH-Income,ZIP,POLICED,COUNCILD,SOURCE,Sum SOURCE ,CATEGORY,Sum CATEGORY ,DAYTOCLOSE,Sum DAYTOCLOSE,TYPE,CATTYPE,GROUP311,VIS_STREET,DEPT,WORKGRP,REQTYPE,DETAIL,CREATEDATE,CREATTIME,CREATEMO,CREATEYR,STATUS,EXCEEDTIME,CLOSEDATE,CLOSEMO,CLOSEYR,DAYTOCLOSE.1,ADDGEOC,COUNTY,Latitude,Longitude,APN,CASEURL
2817,2019165690,4702 NE Vivion Rd,Foxwoods-Carriage Hills,H,64119.0,Shoal Creek,1.0,PHONE,30436,Public Health,1447,4,2743,Food Establishment,Public Health Food Establishment,PUBLIC_HEALT_SAFETY_WORKS,NOT_VISIBLE,Health,Health-Food Protection-,Public Health-Food Establishment-Restaurant,Restaurant,9/13/2019,12:29 PM,9,2019,RESOL,N,9/17/2019,9.0,2019.0,4.0,"4702 NE Vivion Rd64119
(39.188451, -94.524683)",Clay,39.188451,-94.524683,80906,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019165690
2818,2019207859,8934 NW Skyview Ave,Coves North,H,64154.0,North,2.0,WEB,13543,Public Health,1447,10,807,Food Establishment,Public Health Food Establishment,PUBLIC_HEALT_SAFETY_WORKS,NOT_VISIBLE,Health,Health-Food Protection-,Public Health-Food Establishment-Restaurant,Restaurant,12/21/2019,9:10 AM,12,2019,RESOL,N,12/31/2019,12.0,2019.0,10.0,"8934 NW Skyview Ave64154
(39.257504, -94.653189)",Platte,39.257504,-94.653189,245854,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019207859
2819,2020028388,11202 N Ambassador Dr,KCI & 2nd Creek,H,64153.0,North,2.0,PHONE,30436,Public Health,1447,3,3615,Food Establishment,Public Health Food Establishment,PUBLIC_HEALT_SAFETY_WORKS,NOT_VISIBLE,Health,Health-Food Protection-,Public Health-Food Establishment-Restaurant,Restaurant,2/25/2020,3:17 PM,2,2020,RESOL,N,2/28/2020,2.0,2020.0,3.0,"11202 N Ambassador Dr64153
(39.297205, -94.682137)",Platte,39.297205,-94.682137,171772,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020028388
2820,2019165877,4702 NE Vivion Rd,Foxwoods-Carriage Hills,H,64119.0,Shoal Creek,1.0,PHONE,30436,Public Health,1447,4,2743,Food Establishment,Public Health Food Establishment,PUBLIC_HEALT_SAFETY_WORKS,NOT_VISIBLE,Health,Health-Food Protection-,Public Health-Food Establishment-Restaurant,Restaurant,9/13/2019,3:25 PM,9,2019,RESOL,N,9/17/2019,9.0,2019.0,4.0,"4702 NE Vivion Rd64119
(39.188451, -94.524683)",Clay,39.188451,-94.524683,80906,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019165877
2821,2019194873,501 W 75th St,Ward Parkway,H,64114.0,Metro,6.0,PHONE,30436,Public Health,1447,2,4179,Food Establishment,Public Health Food Establishment,PUBLIC_HEALT_SAFETY_WORKS,NOT_VISIBLE,Health,Health-Food Protection-,Public Health-Food Establishment-Restaurant,Restaurant,11/20/2019,2:30 PM,11,2019,RESOL,N,11/22/2019,11.0,2019.0,2.0,"501 W 75th St64114
(38.992296, -94.595415)",Jackson,38.992296,-94.595415,119821,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019194873
2822,2019164459,651 E 59th St,Western 49-63,H,64110.0,Metro,6.0,PHONE,30436,Public Health,1447,2,4179,Food Establishment,Public Health Food Establishment,PUBLIC_HEALT_SAFETY_WORKS,NOT_VISIBLE,Health,Health-Food Protection-,Public Health-Food Establishment-Restaurant,Restaurant,9/11/2019,2:05 PM,9,2019,RESOL,N,9/13/2019,9.0,2019.0,2.0,"651 E 59th St64110
(39.019952, -94.579209)",Jackson,39.019952,-94.579209,105885,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019164459
2823,2019186029,651 E 59th St,Western 49-63,H,64110.0,Metro,6.0,PHONE,30436,Public Health,1447,2,4179,Food Establishment,Public Health Food Establishment,PUBLIC_HEALT_SAFETY_WORKS,NOT_VISIBLE,Health,Health-Food Protection-,Public Health-Food Establishment-Restaurant,Restaurant,10/29/2019,11:20 AM,10,2019,RESOL,N,10/31/2019,10.0,2019.0,2.0,"651 E 59th St64110
(39.019952, -94.579209)",Jackson,39.019952,-94.579209,105885,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019186029
2824,2019203482,6404 Oak St,Morningside,H,64113.0,Metro,6.0,PHONE,30436,Public Health,1447,3,3615,Services,Public Health Services,PUBLIC_HEALT_SAFETY_WORKS,NOT_VISIBLE,Health,Health-Healthy Homes-,Public Health-Services-Healthy Homes Information,Healthy Homes Information,12/13/2019,11:56 AM,12,2019,RESOL,N,12/16/2019,12.0,2019.0,3.0,"6404 Oak St64113
(39.0115, -94.584241)",Jackson,39.0115,-94.584241,107090,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019203482
2825,2020007029,5410 NE Oak Ridge Dr,Ravenwood-Somerset,H,64119.0,Shoal Creek,1.0,PHONE,30436,Public Health,1447,180,2874,Food Establishment,Public Health Food Establishment,PUBLIC_HEALT_SAFETY_WORKS,NOT_VISIBLE,Health,Health-Food Protection-,Public Health-Food Establishment-Restaurant,Restaurant,1/16/2020,11:46 AM,1,2020,OPEN,N,,,,,"5410 NE Oak Ridge Dr64119
(39.194455, -94.51355)",Clay,39.194455,-94.51355,80485,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020007029
2826,2019198033,5536 A Troost Ave,Western 49-63,H,64110.0,Metro,4.0,WEB,13543,Public Health,1447,6,2053,Food Establishment,Public Health Food Establishment,PUBLIC_HEALT_SAFETY_WORKS,NOT_VISIBLE,Health,Health-Food Protection-,Public Health-Food Establishment-Restaurant,Restaurant,11/30/2019,3:06 PM,11,2019,RESOL,N,12/6/2019,12.0,2019.0,6.0,"5536 A Troost Ave64110
(39.025822, -94.574248)",Jackson,39.025822,-94.574248,144509,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019198033
