,CASEID,ADDRESS,NEIGH,NEIGH-Income,ZIP,POLICED,COUNCILD,SOURCE,Sum SOURCE ,CATEGORY,Sum CATEGORY ,DAYTOCLOSE,Sum DAYTOCLOSE,TYPE,CATTYPE,GROUP311,VIS_STREET,DEPT,WORKGRP,REQTYPE,DETAIL,CREATEDATE,CREATTIME,CREATEMO,CREATEYR,STATUS,EXCEEDTIME,CLOSEDATE,CLOSEMO,CLOSEYR,DAYTOCLOSE.1,ADDGEOC,COUNTY,Latitude,Longitude,APN,CASEURL
876,2020019352,9712 N Kentucky Ave,Shoal Creek,H,64157.0,Shoal Creek,1.0,PHONE,30436,Lights / Signals,2686,3,3615,Street Light,Lights / Signals Street Light,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Street and Traffic-Streetlights,Lights / Signals-Street Light-Blinking,Blinking,2/7/2020,2:36 PM,2,2020,RESOL,N,2/10/2020,2.0,2020.0,3.0,"9712 N Kentucky Ave64157
(39.269818, -94.471037)",Clay,39.269818,-94.471037,231253,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020019352
877,2019208955,9112 N Glenwood Ave,Shoal Creek,H,64157.0,Shoal Creek,1.0,WEB,13543,Lights / Signals,2686,14,674,Street Light,Lights / Signals Street Light,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Street and Traffic-Streetlights,Lights / Signals-Street Light-5+ lights out,5+ Lights Out,12/24/2019,10:04 PM,12,2019,RESOL,N,1/7/2020,1.0,2020.0,14.0,"9112 N Glenwood Ave64157
(39.257962, -94.462697)",Clay,39.257962,-94.462697,236962,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019208955
878,2020011818,7425 State Line Rd,Ward Parkway,H,64114.0,Metro,6.0,WEB,13543,Lights / Signals,2686,2,4179,Traffic Signal,Lights / Signals Traffic Signal,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Capital Projects-Traffic Signals,Lights / Signals-Traffic Signal-Signal malfunction,Signal Malfunction,1/26/2020,11:38 AM,1,2020,RESOL,N,1/28/2020,1.0,2020.0,2.0,"7425 State Line Rd64114
(38.993323, -94.607612)",Jackson,38.993323,-94.607612,110458,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020011818
879,2020013382,5510 Oak St,Countryside,H,64113.0,Metro,4.0,EMAIL,4068,Lights / Signals,2686,2,4179,Street Light,Lights / Signals Street Light,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Street and Traffic-Streetlights,Lights / Signals-Street Light-Burning during the day,Burning During The Day,1/28/2020,10:26 AM,1,2020,RESOL,N,1/30/2020,1.0,2020.0,2.0,"5510 Oak St64113
(39.027239, -94.583807)",Jackson,39.027239,-94.583807,144044,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020013382
880,2020013963,8130 NE 97th Ter,Shoal Creek,H,64157.0,Shoal Creek,1.0,PHONE,30436,Lights / Signals,2686,2,4179,Street Light,Lights / Signals Street Light,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Street and Traffic-Streetlights,Lights / Signals-Street Light-2 to 4 lights out,2 to 4 Lights Out,1/28/2020,6:05 PM,1,2020,RESOL,N,1/30/2020,1.0,2020.0,2.0,"8130 NE 97th Ter64157
(39.270179, -94.482054)",Clay,39.270179,-94.482054,226903,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020013963
881,2020013106,8015 NE 111th St,Shoal Creek,H,64157.0,Shoal Creek,1.0,WEB,13543,Lights / Signals,2686,1,9171,Street Light,Lights / Signals Street Light,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Street and Traffic-Streetlights,Lights / Signals-Street Light-Blinking,Blinking,1/28/2020,6:49 AM,1,2020,RESOL,N,1/29/2020,1.0,2020.0,1.0,"8015 NE 111th St64157
(39.293941, -94.485567)",Clay,39.293941,-94.485567,226832,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020013106
882,2019208956,9116 N Glenwood Ave,Shoal Creek,H,64157.0,Shoal Creek,1.0,WEB,13543,Lights / Signals,2686,14,674,Street Light,Lights / Signals Street Light,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Street and Traffic-Streetlights,Lights / Signals-Street Light-5+ lights out,5+ Lights Out,12/24/2019,10:04 PM,12,2019,RESOL,N,1/7/2020,1.0,2020.0,14.0,"9116 N Glenwood Ave64157
(39.258023, -94.46298)",Clay,39.258023,-94.46298,236961,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019208956
883,2020013386,5900 Oak St,Morningside,H,64113.0,Metro,6.0,EMAIL,4068,Lights / Signals,2686,2,4179,Street Light,Lights / Signals Street Light,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Street and Traffic-Streetlights,Lights / Signals-Street Light-Burning during the day,Burning During The Day,1/28/2020,10:28 AM,1,2020,RESOL,N,1/30/2020,1.0,2020.0,2.0,"5900 Oak St64113
(39.020122, -94.583782)",Jackson,39.020122,-94.583782,106434,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020013386
884,2020011836,900 NE 93rd Ct,Gashland,H,64155.0,Shoal Creek,2.0,WEB,13543,Lights / Signals,2686,3,3615,Street Light,Lights / Signals Street Light,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Street and Traffic-Streetlights,Lights / Signals-Street Light-5+ lights out,5+ Lights Out,1/26/2020,7:42 PM,1,2020,RESOL,N,1/29/2020,1.0,2020.0,3.0,"900 NE 93rd Ct64155
(39.26393, -94.569398)",Clay,39.26393,-94.569398,100108,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020011836
885,2019208958,9119 N Evanston Ave,Shoal Creek,H,64157.0,Shoal Creek,1.0,WEB,13543,Lights / Signals,2686,14,674,Street Light,Lights / Signals Street Light,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Street and Traffic-Streetlights,Lights / Signals-Street Light-5+ lights out,5+ Lights Out,12/24/2019,10:06 PM,12,2019,RESOL,N,1/7/2020,1.0,2020.0,14.0,"9119 N Evanston Ave64157
(39.259896, -94.45924)",Clay,39.25989600000001,-94.45924,236978,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019208958
