,CASEID,ADDRESS,NEIGH,NEIGH-Income,ZIP,POLICED,COUNCILD,SOURCE,Sum SOURCE ,CATEGORY,Sum CATEGORY ,DAYTOCLOSE,Sum DAYTOCLOSE,TYPE,CATTYPE,GROUP311,VIS_STREET,DEPT,WORKGRP,REQTYPE,DETAIL,CREATEDATE,CREATTIME,CREATEMO,CREATEYR,STATUS,EXCEEDTIME,CLOSEDATE,CLOSEMO,CLOSEYR,DAYTOCLOSE.1,ADDGEOC,COUNTY,Latitude,Longitude,APN,CASEURL
7054,2019178994,7615 N Lawn Ave,Shoal Creek,H,64119.0,Shoal Creek,1.0,WEB,13543,Trash / Recycling,18208,2,4179,Trash Collection,Trash / Recycling Trash Collection,TRASH_RECYCLING,VISIBLE,NHS,NHS-Solid Waste-,Trash / Recycling-Trash Collection-Missed by Contractor North,Missed by Contractor North,10/12/2019,5:42 PM,10,2019,RESOL,N,10/14/2019,10.0,2019.0,2.0,"7615 N Lawn Ave64119
(39.232503, -94.524629)",Clay,39.232503,-94.524629,237471,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019178994
7055,2019178987,7912 N Poplar Ct,Shoal Creek,H,64119.0,Shoal Creek,1.0,WEB,13543,Trash / Recycling,18208,2,4179,Trash Collection,Trash / Recycling Trash Collection,TRASH_RECYCLING,VISIBLE,NHS,NHS-Solid Waste-,Trash / Recycling-Trash Collection-Missed by Contractor North,Missed by Contractor North,10/12/2019,1:30 PM,10,2019,RESOL,N,10/14/2019,10.0,2019.0,2.0,"7912 N Poplar Ct64119
(39.237345, -94.521528)",Clay,39.237345,-94.521528,232374,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019178987
7056,2019178971,1010 W 64th Ter,Country Club District,H,64113.0,Metro,6.0,WEB,13543,Trash / Recycling,18208,3,3615,Trash Collection,Trash / Recycling Trash Collection,TRASH_RECYCLING,VISIBLE,NHS,NHS-Solid Waste-,Trash / Recycling-Trash Collection-Missed by Contractor South,Missed by Contractor South,10/12/2019,8:24 AM,10,2019,RESOL,N,10/15/2019,10.0,2019.0,3.0,"1010 W 64th Ter64113
(39.011652, -94.601044)",Jackson,39.01165200000001,-94.601044,109180,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019178971
7057,2019176227,5735 Ward Pkwy,Country Club District,H,64113.0,Metro,4.0,PHONE,30436,Trash / Recycling,18208,2,4179,Recycling,Trash / Recycling Recycling,TRASH_RECYCLING,VISIBLE,NHS,NHS-Solid Waste-,Trash / Recycling-Recycling-Missed by City,Missed by City,10/7/2019,8:38 AM,10,2019,RESOL,N,10/9/2019,10.0,2019.0,2.0,"5735 Ward Pkwy64113
(39.023408, -94.601389)",Jackson,39.023408,-94.601389,143118,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019176227
7058,2019176197,9615 NE 95th Ter,Shoal Creek,H,64157.0,Shoal Creek,1.0,BOT,3808,Trash / Recycling,18208,0,4266,Recycling,Trash / Recycling Recycling,TRASH_RECYCLING,VISIBLE,NHS,NHS-Solid Waste-,Trash / Recycling-Recycling-Missed by Contractor North,Missed by Contractor North,10/7/2019,8:13 AM,10,2019,RESOL,N,10/7/2019,10.0,2019.0,0.0,"9615 NE 95th Ter64157
(39.265697, -94.459374)",Clay,39.265697,-94.459374,221344,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019176197
7059,2019176324,11212 N Marsh Ave,Shoal Creek,H,64157.0,Shoal Creek,1.0,PHONE,30436,Trash / Recycling,18208,7,1826,Nuisance,Trash / Recycling Nuisance,TRASH_RECYCLING,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Trash on Private Property,10/7/2019,10:15 AM,10,2019,RESOL,N,10/14/2019,10.0,2019.0,7.0,"11212 N Marsh Ave64157
(39.296525, -94.481634)",Clay,39.296525,-94.481634,98698,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019176324
7060,2019176589,6032 Rockhill Rd,Western 49-63,H,64110.0,Metro,6.0,WEB,13543,Trash / Recycling,18208,4,2743,Nuisance,Trash / Recycling Nuisance,TRASH_RECYCLING,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Trash on Private Property,10/7/2019,2:40 PM,10,2019,RESOL,N,10/11/2019,10.0,2019.0,4.0,"6032 Rockhill Rd64110
(39.017148, -94.577046)",Jackson,39.017148,-94.577046,105830,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019176589
7061,2019178997,7809 N Chelsea Ave,Shoal Creek,H,64119.0,Shoal Creek,1.0,WEB,13543,Trash / Recycling,18208,2,4179,Trash Collection,Trash / Recycling Trash Collection,TRASH_RECYCLING,VISIBLE,NHS,NHS-Solid Waste-,Trash / Recycling-Trash Collection-Missed by Contractor North,Missed by Contractor North,10/12/2019,7:44 PM,10,2019,RESOL,N,10/14/2019,10.0,2019.0,2.0,"7809 N Chelsea Ave64119
(39.23531, -94.522146)",Clay,39.23531,-94.522146,232401,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019178997
7062,2019176651,6216 Troost Ave,Western 49-63,H,64110.0,Metro,6.0,PHONE,30436,Trash / Recycling,18208,4,2743,Nuisance,Trash / Recycling Nuisance,TRASH_RECYCLING,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Trash on Private Property,10/7/2019,3:31 PM,10,2019,RESOL,N,10/11/2019,10.0,2019.0,4.0,"6216 Troost Ave64110
(39.01419, -94.574881)",Jackson,39.01419,-94.574881,106385,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019176651
7063,2019175624,10415 NW 87th St,KCI & 2nd Creek,H,64153.0,North,2.0,PHONE,30436,Trash / Recycling,18208,2,4179,Trash Collection,Trash / Recycling Trash Collection,TRASH_RECYCLING,VISIBLE,NHS,NHS-Solid Waste-,Trash / Recycling-Trash Collection-Missed by Contractor North,Missed by Contractor North,10/3/2019,6:18 PM,10,2019,RESOL,N,10/5/2019,10.0,2019.0,2.0,"10415 NW 87th St64153
(39.251356, -94.702155)",Platte,39.251356,-94.702155,211724,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019175624
7064,2019178968,1010 W 64th Ter,Country Club District,H,64113.0,Metro,6.0,WEB,13543,Trash / Recycling,18208,2,4179,Trash Collection,Trash / Recycling Trash Collection,TRASH_RECYCLING,VISIBLE,NHS,NHS-Solid Waste-,Trash / Recycling-Trash Collection-Missed by Contractor South,Missed by Contractor South,10/12/2019,8:21 AM,10,2019,RESOL,N,10/14/2019,10.0,2019.0,2.0,"1010 W 64th Ter64113
(39.011652, -94.601044)",Jackson,39.01165200000001,-94.601044,109180,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019178968
7065,2019176937,12605 E 59th Ter,Little Blue,H,64133.0,East,5.0,PHONE,30436,Trash / Recycling,18208,1,9171,Trash Collection,Trash / Recycling Trash Collection,TRASH_RECYCLING,VISIBLE,NHS,NHS-Solid Waste-,Trash / Recycling-Trash Collection-Missed by Contractor South,Missed by Contractor South,10/8/2019,9:50 AM,10,2019,RESOL,N,10/9/2019,10.0,2019.0,1.0,"12605 E 59th Ter64133
(39.013086, -94.432357)",Jackson,39.013086,-94.432357,64419,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019176937
7066,2019176802,11401 N Madison Ave,Outer Gashland-Nashua,H,64155.0,North,2.0,BOT,3808,Trash / Recycling,18208,1,9171,Trash Collection,Trash / Recycling Trash Collection,TRASH_RECYCLING,VISIBLE,NHS,NHS-Solid Waste-,Trash / Recycling-Trash Collection-Missed by Contractor North,Missed by Contractor North,10/8/2019,7:10 AM,10,2019,RESOL,N,10/9/2019,10.0,2019.0,1.0,"11401 N Madison Ave64155
(39.301642, -94.592223)",Clay,39.301642,-94.592223,100267,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019176802
7067,2019176955,6165 Holmes St,Western 49-63,H,64110.0,Metro,6.0,PHONE,30436,Trash / Recycling,18208,2,4179,Recycling,Trash / Recycling Recycling,TRASH_RECYCLING,VISIBLE,NHS,NHS-Solid Waste-,Trash / Recycling-Recycling-Missed by City,Missed by City,10/8/2019,10:06 AM,10,2019,RESOL,N,10/10/2019,10.0,2019.0,2.0,"6165 Holmes St64110
(39.014489, -94.578786)",Jackson,39.01448900000001,-94.578786,106266,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019176955
