,CASEID,ADDRESS,NEIGH,NEIGH-Income,ZIP,POLICED,COUNCILD,SOURCE,Sum SOURCE ,CATEGORY,Sum CATEGORY ,DAYTOCLOSE,Sum DAYTOCLOSE,TYPE,CATTYPE,GROUP311,VIS_STREET,DEPT,WORKGRP,REQTYPE,DETAIL,CREATEDATE,CREATTIME,CREATEMO,CREATEYR,STATUS,EXCEEDTIME,CLOSEDATE,CLOSEMO,CLOSEYR,DAYTOCLOSE.1,ADDGEOC,COUNTY,Latitude,Longitude,APN,CASEURL
3616,2020021810,818 NE 112th Ter,Nashua,H,64155.0,Shoal Creek,2.0,PHONE,30436,Storm Water / Sewer,2262,16,412,Services,Storm Water / Sewer Services,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Wastewater,Stormwater / Sewer-Services-Call Back Request,Call Back Request,2/12/2020,1:28 PM,2,2020,RESOL,N,2/28/2020,2.0,2020.0,16.0,"818 NE 112th Ter64155
(39.297269, -94.568034)",Clay,39.297269,-94.568034,100855,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020021810
3617,2019187699,6315 Brookside Plz,Morningside,H,64113.0,Metro,6.0,PHONE,30436,Storm Water / Sewer,2262,8,1466,Sewer Backup / Leak,Storm Water / Sewer Sewer Backup / Leak,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Wastewater,Sewer-Sewer Backup / Leak-In a house,In A House,11/1/2019,1:24 PM,11,2019,RESOL,Y,11/9/2019,11.0,2019.0,8.0,"6315 Brookside Plz64113
(39.0133, -94.590351)",Jackson,39.0133,-94.590351,107142,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019187699
3618,2019187824,1101 W 76th St,Ward Parkway,H,64114.0,Metro,6.0,PHONE,30436,Storm Water / Sewer,2262,21,417,Storm Drain / Catch Basin,Storm Water / Sewer Storm Drain / Catch Basin,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Stormwater,Stormwater-Storm Drain / Catch Basin-Clogged / Over-Flow,Clogged / Over-Flow,11/1/2019,4:36 PM,11,2019,RESOL,Y,11/22/2019,11.0,2019.0,21.0,"1101 W 76th St64114
(38.990752, -94.602324)",Jackson,38.990752,-94.602324,119977,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019187824
3619,2019187600,7711 State Line Rd,Ward Parkway,H,64114.0,Metro,6.0,PHONE,30436,Storm Water / Sewer,2262,0,4266,Services,Storm Water / Sewer Services,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Wastewater,Stormwater / Sewer-Services-Call Back Request,Call Back Request,11/1/2019,10:51 AM,11,2019,RESOL,N,11/1/2019,11.0,2019.0,0.0,"7711 State Line Rd64114
(38.988437, -94.607523)",Jackson,38.988437,-94.607523,120472,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019187600
3620,2020028024,8350 N Church Rd,Shoal Creek,H,64158.0,Shoal Creek,1.0,PHONE,30436,Storm Water / Sewer,2262,180,2874,Services,Storm Water / Sewer Services,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Wastewater,Stormwater / Sewer-Services-Service Issue / Problem,Service Issue / Problem,2/25/2020,9:45 AM,2,2020,OPEN,N,,,,,"8350 N Church Rd64158
(39.2431, -94.462419)",Clay,39.2431,-94.462419,97666,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020028024
3621,2020003205,5902 Walnut St,Morningside,H,64113.0,Metro,6.0,PHONE,30436,Storm Water / Sewer,2262,5,2293,Storm Drain / Catch Basin,Storm Water / Sewer Storm Drain / Catch Basin,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Stormwater,Stormwater-Storm Drain / Catch Basin-Clogged / Over-Flow,Clogged / Over-Flow,1/8/2020,12:39 PM,1,2020,RESOL,N,1/13/2020,1.0,2020.0,5.0,"5902 Walnut St64113
(39.020234, -94.58717)",Jackson,39.020234,-94.58717,106486,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020003205
3622,2019174171,5611 Oak St,Western 49-63,H,64113.0,Metro,4.0,PHONE,30436,Storm Water / Sewer,2262,16,412,Storm Drain / Catch Basin,Storm Water / Sewer Storm Drain / Catch Basin,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Stormwater,Stormwater-Storm Drain / Catch Basin-Clogged / Over-Flow,Clogged / Over-Flow,10/1/2019,2:01 PM,10,2019,RESOL,Y,10/17/2019,10.0,2019.0,16.0,"5611 Oak St64113
(39.025175, -94.582843)",Jackson,39.025175,-94.582843,144766,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019174171
3623,2019207862,228 W 70th Ter,Armour Hills,H,64113.0,Metro,6.0,PHONE,30436,Storm Water / Sewer,2262,3,3615,Sewer Backup / Leak,Storm Water / Sewer Sewer Backup / Leak,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Wastewater,Sewer-Sewer Backup / Leak-In a house,In A House,12/21/2019,10:42 AM,12,2019,RESOL,N,12/24/2019,12.0,2019.0,3.0,"228 W 70th Ter64113
(39.000553, -94.592805)",Jackson,39.000553,-94.592805,112020,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019207862
3624,2019207867,28 W 70th Ter,Armour Hills,H,64113.0,Metro,6.0,PHONE,30436,Storm Water / Sewer,2262,3,3615,Storm Drain / Catch Basin,Storm Water / Sewer Storm Drain / Catch Basin,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Stormwater,Stormwater-Storm Drain / Catch Basin-Clogged / Over-Flow,Clogged / Over-Flow,12/21/2019,12:18 PM,12,2019,RESOL,N,12/24/2019,12.0,2019.0,3.0,"28 W 70th Ter64113
(39.000414, -94.590436)",Jackson,39.000414,-94.590436,112033,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019207867
3625,2019168015,3946 NE Prather Rd,River Forest,H,64116.0,Shoal Creek,1.0,PHONE,30436,Storm Water / Sewer,2262,29,280,Sewer Backup / Leak,Storm Water / Sewer Sewer Backup / Leak,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Wastewater,Sewer-Sewer Backup / Leak-In a house,In A House,9/18/2019,2:12 PM,9,2019,RESOL,Y,10/17/2019,10.0,2019.0,29.0,"3946 NE Prather Rd64116
(39.166201, -94.554201)",Clay,39.166201,-94.554201,85534,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019168015
